"product_id","code_retour","code_produit","quantite","descr_produit","description_retour","qte_inventaire","qte_detruite","taux_restock","poids","poids_produits","quantite_recue"
"1626","6506","RGP1T","60","GRAISSE - PREMIUM GR_1 TUBES (410G)",,"60","0","0","0","66","60"
"1627","6506","RGP2T","120","GRAISSE - PREMIUM GR_2 TUBES (430G)",,"120","0","0","0","132","120"
"1628","6506","DG10400","120","DG10: DEGRAISSEUR INDUSTRIEL 400G",,"120","0","0","0","150","120"
"1629","6506","MA340","12","MAXEP AEROSOL 340G",,"12","0","0","0","12","12"
"1630","6507","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1631","6508","AR400N","60","ANTIROUILLE AEROSOL NOIR 400G","ERREUR DE PRODUIT","60","0","0","0","75","60"
"1632","6509","S2205A","1","S2000 AMBRE: ANTI. POLYMERIC 205L","CHANGEMENT DE PRODUIT","1","0","0","0","420","1"
"1633","6510","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1634","6511","NTX350","11","NTX ESSENCE 350ML","PRODUITS ENDOMMAGÉS","0","12","0","0","8","12"
"1635","6512","MA500","12","MAXEP 500ML","ERREUR DE PRODUIT","12","0","0","0","14","12"
"1636","6513","MA500","12","MAXEP 500ML","MAUVAISE ADRESSE","0","0","0","0","14","0"
"1637","6514","MAX5W40S20","1","MAX4 5W40: HUILE 4 TEMPS SYN 20L","LIVRÉ MAUVAISE ADRESSE","1","0","0","0","40","1"
"1638","6515","RGP2T","6","GRAISSE - PREMIUM GR_2 TUBES (430G)","PRODUIT ENDOMMAGÉS","0","10","0","0","11","6"
"1639","6516","RGP1T","10","GRAISSE - PREMIUM GR_1 TUBES (410G)","PRODUITS ENDOMMAGÉS","0","10","0","0","11","0"
"1640","6517","DIA200T","600","GRAISSE INDUST. SYNTHETIQUE PAO DIAMOND 200(400G)",,"0","0","0","0","660","0"
"1641","6518","EXPO_DRAPEAU","1","DRAPEAU SINTO","DRAPEAU - MAX4","1","0","0","0","1","1"
"1642","6518","EXPO_DRAPEAU","1","DRAPEAU SINTO","DRAPEAU - PERFORMA","1","0","0","0","1","1"
"1643","6518","EXPO_BATON DE DRAPEAU","2","BATON DE DRAPEAU","BATON INTÉRIEUR","2","0","0","0","2","2"
"1644","6519","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1645","6520","SLUB375","12","SINLUB AEROSOL 375G",,"0","0","0","0","14","0"
"1646","6520","MA340","12","MAXEP AEROSOL 340G",,"0","0","0","0","12","0"
"1647","6521","GB75140205","1","GEARBOX XT: HUILE ENGR. SYN 75W140 205L","CHANGEMENT DE PRODUIT","1","0","0","0","420","1"
"1648","6522","RG1180S","1","GRAISSE - RG1 HIVER (180KG)",,"0","0","0","0","400","0"
"1649","6523","OC350","12","OCTANE 350ML","ERREUR DE PRODUIT","0","0","0","0","9","0"
"1650","6523","OC65","20","OCTANE 60ML","ERREUR DE PRODUIT","0","0","0","0","3","0"
"1651","6524","IP4","4","PERFORMA: HUILE 2 TEMPS SYN 4L","BRIS DANS LE TRANSPORT","2","2","0","0","32","4"
"1652","6525","HT2T","30","GRAISSE - HT2 TUBES (430GR)","PRODUITS NON EXPÉDIÉS","0","0","0","0","33","0"
"1653","6526","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1654","6527","EXPO_TENTE 10X20","1","TENTE 10X20 + NAPPE NOIRE",,"1","0","0","0","1","1"
"1655","6528","ACT70_LG","6","LINGETTE NETTOYANTE (70)","PRODUIT NON LIVRÉ","6","0","0","0","15","6"
"1656","6529","HD5W40S4","4","HUILE MOTEUR DIESEL SYN 5W40 - 4L","PRODUITS ENDOMMAGÉS","1","3","0","0","33","4"
"1657","6530","PVPOL252_L","2","POLO: NOIR_LARGE","PRODUIT B/O","0","0","0","0","2","0"
"1658","6531","MA500","12","MAXEP 500ML","PRODUITS ENDOMMAGÉS","9","3","0","0","14","12"
"1659","6532","RG2T","29","GRAISSE - RG2 TUBES (430G)","ITEMS MANQUANTS","0","0","0","0","31","0"
"1660","6533","S2205A","1","S2000 AMBRE: ANTI. POLYMERIC 205L","PRODUIT DÉFECTUEUX","0","1","0","0","420","1"
"1661","6534","RGP2T","5","GRAISSE - PREMIUM GR_2 TUBES (430G)","PRODUITS ENDOMMAGÉS","0","5","0","0","5","0"
"1662","6535","SYN100T","10","GRAISSE - SYN100% GR_2 (430 GR)","Perdu ou endommagé ???","0","10","0","0","11","0"
"1663","6535","RG2T","10","GRAISSE - RG2 TUBES (430G)","Perdu ou endommagé ???","0","10","0","0","11","0"
"1664","6536","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1665","6537","EXPO_TENTE 10X20","1","TENTE 10X20 + NAPPE NOIRE",,"1","0","0","0","1","1"
"1666","6455","RGP2T","20","GRAISSE - PREMIUM GR_2 TUBES (430G)",NULL,"0","20","0","0",NULL,"0"
"1667","6455","RG2T","30","GRAISSE - RG2 TUBES (430G)",NULL,"0","30","0","0",NULL,"0"
"1668","6538","RGP2T","4","GRAISSE - PREMIUM GR_2 TUBES (430G)","PRODUITS ENDOMMAGÉS","0","4","0","0","4","0"
"1669","6539","S1020N","3","S1000 NOIR: ANTIROUILLE HUILE 20L","PRODUIT DÉFECTUEUX","0","0","0","0","126","0"
"1671","6540","RG2T","4","GRAISSE - RG2 TUBES (430G)","TUBES MAL REMPLIS","0","4","0","0","4","0"
"1672","6541","FS","4","FUSIL APPLICATEUR AÉROSOL","ERREUR DE PRODUIT","0","0","0","0","2","0"
"1674","6543","RGP2T","330","GRAISSE - PREMIUM GR_2 TUBES (430G)","ERREUR DE COMMANDE","0","0","0","0","363","0"
"1675","6542","PLUB1L","1","Pen Lub (1L) + vaporisator *6011110*",,"0","1","0","0",NULL,"0"
"1676","6544","MA20","1","MAXEP 20L","ERREUR DE PRODUIT","1","0","0","0","40","1"
"1677","6545","DIA200T","40","GRAISSE INDUST. SYNTHETIQUE PAO DIAMOND 200(400G)",,"0","40","0","0","44","0"
"1678","6545","S2502T","50","GRAISSE - SIN 250 GR_2 TUBES (430G)",,"0","50","0","0","55","0"
"1679","6546","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1680","6547","IE1","3","ENDURO: HUILE 2 TEMPS SYN 1L","Produits endommagés (étiquette)","0","3","0","0","6","0"
"1681","6548","MA340","3","MAXEP AEROSOL 340G","Bris de transport","0","3","0","0","3","0"
"1682","6549","RGP2T","30","GRAISSE - PREMIUM GR_2 TUBES (430G)","LIVRÉ À LA MAUVAISE ADRESSE","30","0","0","0","33","30"
"1683","6550","OC350","6","OCTANE 350ML","Mauvais produit","0","0","0","0","4","0"
"1684","6551","S2205A","2","S2000 AMBRE: ANTI. POLYMERIC 205L","PRODUITS DÉFECTUEUX","2","2","0","0","840","2"
"1685","6552","OC65","40","OCTANE 60ML","NON LIVRÉS ???","0","40","0","0","7","0"
"1686","6553","BC390","12","BRAKE CLEANER 390G","Reçu en trop","12","0","0","0","15","12"
"1687","6554","S3020N","1","S3000 NOIR: ANTI. HUILE ET CIRE 20L","ITEM MANQUANT","0","0","0","0","42","0"
"1688","6555","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1689","6556","MA20","1","MAXEP 20L","ERREUR DE PRODUIT","1","0","0","0","40","1"
"1690","6557","S2004A","12","S2000 AMBRE: ANTI. HUILE ET CIRE 4L","ERREUR DE PRODUIT","12","0","0","0","99","12"
"1691","6558","KRAK325","1","KRAKEN 325G","produit défectueux","0","1","0","0","1","1"
"1692","6559","DSP","1","DISTRIBUTEUR ACTION+","ERREUR DE PRODUIT","0","0","0","0","3","0"
"1693","6560","SYN10055","1","GRAISSE - SYN100 GR_2 (55KG)","ERREUR DE FORMAT","0","0","0","0","130","0"
"1694","6561","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1695","6562","RG1T","10","GRAISSE - RG1 HIVER TUBES (425G)","PRODUITS ENDOMMAGÉS","0","10","0","0","11","0"
"1696","6563","S1205B","1","S1000 BLEU: ANTIROUILLE HUILE 205L","PRODUIT DÉFECTUEUX ???","0","1","0","0","420","1"
"1697","6564","IP4","4","PERFORMA: HUILE 2 TEMPS SYN 4L","PRODUITS ENDOMMAGÉS","0","4","0","0","32","0"
"1698","6565","PVBOX200_XL","4","BOXER: SINTO (SLOGAN FRANCAIS)_X LARGE","TISSU EN COTTON","4","0","0","0","4","4"
"1699","6565","PVBOX200_M","4","BOXER: SINTO (SLOGAN FRANCAIS)_MEDIUM","TISSU EN COTTON","4","0","0","0","4","4"
"1700","6565","PVBOX200_L","4","BOXER: SINTO (SLOGAN FRANCAIS)_LARGE","TISSU EN COTTON","4","0","0","0","4","4"
"1701","6566","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1702","6567","RG2T","10","GRAISSE - RG2 TUBES (430G)","items manquants","0","0","0","0","11","0"
"1703","6568","PPPRE561","1","PRESENTOIR: PROMO PERFORMA","PRODUIT ENDOMMAGÉ","0","1","0","0","50","0"
"1704","6569","AR400N","24","ANTIROUILLE AEROSOL NOIR 400G","MAUVAIS PRODUIT","24","0","0","0","30","24"
"1705","6570","MAX10W40M1","24","MAX4 10W40: HUILE 4 TEMPS MIN 1L","PRODUITS NON EXPÉDIÉS","0","0","0","0","49","0"
"1706","6570","IP4","4","PERFORMA: HUILE 2 TEMPS SYN 4L","PRODUITS REÇUS EN TROP","0","0","0","0","0","0"
"1707","6571","RGP1T","30","GRAISSE - PREMIUM GR_1 TUBES (410G)",,"0","0","0","0","33","0"
"1708","6572","SEG205V","2","ANTIROUILLE ECOLOGUARD VERT 205L","ERREUR DE CLIENT","2","0","0","0","840","2"
"1709","6573","RG1T","60","GRAISSE - RG1 HIVER TUBES (425G)","mauvais produit","0","0","0","0","33","0"
"1710","6574","RG255","1","GRAISSE - RG2 (55KG)","MAUVAISE ADRESSE","1","0","0","0","130","1"
"1711","6575","CE1","12","CETANE 1L","produits endommagés","0","12","0","0","24","12"
"1712","6576","SR281","1","ÉCHANTILLON 1L (SR28)","PRODUIT mal scellé","0","1","0","0","0","0"
"1713","6577","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1714","6578","SLUB375","12","SINLUB AEROSOL 375G","mauvais produits","12","0","0","0","14","12"
"1715","6579","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1716","6580","ATF1","1","ATF+: HUILE TRANSMISSION ATF+ 1L","Mauvais produits","1","0","0","0","2","1"
"1717","6580","PLUB350","1","Pen Lub aérosol 350g","Mauvais produits","1","0","0","0","1","1"
"1718","6581","POMPE-PC","1","POMPE A LEVIER DC121 (PRODUIT CHIMIQUE)","Produit défectueux","0","1","0","0","10","1"
"1719","6582","RG1T","2","GREASE - RG1 WINTER TUBES (425G)","Produits endommagés","0","2","0","0","2","0"
"1720","6583","OC65","20","OCTANE 60ML","Erreur de produit","0","0","0","0","0","0"
"1721","6583","OC350","12","OCTANE 350ML","Produit non reçu","0","0","0","0",NULL,"0"
"1722","6584","VPS","1","VENTES DE PRODUITS (DIVERS)",,"0","0","0","0","0","0"
"1723","6585","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1724","6586","RGP2T","30","GRAISSE - PREMIUM GR_2 TUBES (430G)","Produits reçus en trop","0","0","0","0","33","0"
"1725","6586","AR400A","12","ANTIROUILLE AEROSOL AMBRE 400G","Produits non reçus","0","0","0","0","15","0"
"1726","6587","RG2T","150","GREASE - RG2 TUBES  (430G)","Produits non reçus","0","0","0","0","165","0"
"1727","6588","DSP","1","DISTRIBUTEUR ACTION+","Produit non commandé","0","0","0","0","3","0"
"1728","6589","S3020B","1","S3000 BRUN: ANTI. HUILE ET CIRE 20L","Produit livré trop tard","1","0","0","0","42","1"
"1729","6590","S2020A","1","S2000 AMBRE: ANTI. POLYMERIC 20L","Produit endommagé","0","1","0","0","42","1"
"1731","6591","RGP2T","8","GRAISSE - PREMIUM GR_2 TUBES (430G)","Erreur de produit","4","4","0","0","8","8"
"1732","6592","MA340","1","MAXEP AEROSOL 340G","Produit défectueux","0","1","0","0","1","0"
"1733","6593","TOP5T","2","Graisse Top 5 EP 2 Tacky Tube 400g *5624646*","MAUVAIS PRODUIT","0","2","0","0","2","0"
"1734","6594","GS75W90500","10","HUILE ENG. 75W90 SYN 500ML","Erreur de produit","10","0","0","0","10","10"
"1735","6595","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1736","6596","DSP","1","DISTRIBUTEUR ACTION+","Erreur de produit","1","0","0","0","3","1"
"1737","6597","ISO220S18.9","1","ISO220: HUILE ENGRENAGE ISO 220 18.9L","Erreur de produit","0","0","0","0","42","0"
"1738","6598","MAX0W40S1","12","MAX4 0W40: HUILE 4 TEMPS SYN 1L","Produits endommagés","0","12","0","0","24","12"
"1739","6599","RGP2T","60","GRAISSE - PREMIUM GR_2 TUBES (430G)",,"60","0","0","0","66","60"
